City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alice Springs,AU,-23.7,133.8833,74.75,21,59,11.99,broken clouds
80,Cape Town,ZA,-33.9258,18.4232,52.11,89,75,4.0,moderate rain
81,Acamixtla,MX,18.5667,-99.5833,57.67,85,100,3.47,overcast clouds
82,Souillac,MU,-20.5167,57.5167,75.58,53,40,12.66,scattered clouds
83,Salmo,CA,49.1999,-117.2689,72.07,57,100,3.33,overcast clouds
84,Harrisonville,US,38.6533,-94.3488,72.01,88,1,3.44,clear sky
85,Hay River,CA,60.8156,-115.7999,62.58,82,75,3.44,broken clouds
86,Genhe,CN,50.7833,121.5167,85.62,37,3,7.05,clear sky
87,Constantine,DZ,36.365,6.6147,79.45,34,0,1.97,clear sky
88,Dikson,RU,73.5069,80.5464,39.97,80,100,4.9,overcast clouds
89,Puerto Escondido,MX,15.85,-97.0667,79.88,74,75,4.72,broken clouds
90,Makaha,US,21.4694,-158.2175,78.71,78,75,13.8,broken clouds
91,Tingo Maria,PE,-9.2895,-76.0088,66.2,99,98,0.89,overcast clouds
92,Pangnirtung,CA,66.1451,-65.7125,40.71,98,100,1.03,light rain
93,Ahipara,NZ,-35.1667,173.1667,52.68,86,100,5.97,overcast clouds
94,Pisco,PE,-13.7,-76.2167,61.02,94,90,4.61,overcast clouds
95,Hilo,US,19.7297,-155.09,75.79,89,90,13.8,light rain
96,Lianzhou,CN,24.7811,112.3825,83.32,86,100,2.19,light rain
97,Hasaki,JP,35.7333,140.8333,88.29,75,67,11.25,broken clouds
98,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,84,34,14.05,scattered clouds
99,Bom Jesus,BR,-9.0744,-44.3586,66.09,53,7,0.54,clear sky
100,Coahuayana,MX,18.7333,-103.6833,75.76,80,6,4.12,clear sky
101,Klaksvik,FO,62.2266,-6.589,50.92,92,76,2.13,broken clouds
102,Skibbereen,IE,51.55,-9.2667,62.4,76,78,5.97,broken clouds
103,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,16.11,few clouds
104,Batagay,RU,67.6333,134.6333,73.2,42,95,7.81,overcast clouds
105,Cape Canaveral,US,28.4058,-80.6048,78.98,89,1,3.44,clear sky
106,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,4.85,light rain
107,Narsaq,GL,60.9167,-46.05,44.82,90,63,0.87,broken clouds
108,Mathbaria,BD,22.2876,89.9593,89.47,66,100,9.62,moderate rain
109,Saint-Philippe,RE,-21.3585,55.7679,75.22,69,82,15.66,broken clouds
110,Neya,RU,58.2972,43.8681,64.29,90,100,2.91,light rain
111,Dutlwe,BW,-23.9833,23.9,57.47,36,0,10.69,clear sky
112,Guerrero Negro,MX,27.9769,-114.0611,70.68,78,97,13.24,overcast clouds
113,Cacapava Do Sul,BR,-30.5122,-53.4914,33.87,92,0,1.66,clear sky
114,Yelizovo,RU,53.1873,158.3805,60.94,88,75,8.95,broken clouds
115,Ancud,CL,-41.8697,-73.8203,47.73,95,100,1.48,overcast clouds
116,Marataizes,BR,-21.0433,-40.8244,60.62,61,0,9.28,clear sky
117,Juneau,US,58.3019,-134.4197,60.1,83,75,3.44,broken clouds
118,Surt,LY,31.2089,16.5887,80.19,62,0,8.34,clear sky
119,Taoudenni,ML,22.6783,-3.9836,107.2,9,16,5.28,few clouds
120,Touros,BR,-5.1989,-35.4608,72.5,76,66,13.58,broken clouds
121,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,6,3.38,clear sky
122,Saint-Joseph,RE,-21.3667,55.6167,74.21,66,41,16.35,scattered clouds
123,Velsk,RU,61.0701,42.0983,72.73,37,90,5.26,overcast clouds
124,Qaanaaq,GL,77.484,-69.3632,37.69,77,99,1.57,overcast clouds
125,Faanui,PF,-16.4833,-151.75,79.32,78,5,25.37,clear sky
126,Fortuna,US,40.5982,-124.1573,55.42,93,90,0.0,overcast clouds
127,Tura,IN,25.5198,90.2201,84.92,78,96,3.69,light rain
128,Belmonte,BR,-15.8631,-38.8828,72.1,88,6,6.78,clear sky
129,Nantucket,US,41.2835,-70.0995,69.96,75,98,9.06,overcast clouds
130,Port Alfred,ZA,-33.5906,26.891,62.42,70,99,6.51,overcast clouds
131,Najran,SA,17.4924,44.1277,70.45,41,100,10.49,overcast clouds
132,Shuangyang,CN,43.5242,125.6736,89.56,77,97,5.84,overcast clouds
133,Esperance,AU,-33.8667,121.9,57.04,83,100,14.0,light rain
134,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,75,14.97,broken clouds
135,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,78,75,14.97,broken clouds
136,Kahului,US,20.8947,-156.47,76.84,91,40,18.41,scattered clouds
137,Xai-Xai,MZ,-25.0519,33.6442,72.63,64,0,3.71,clear sky
138,Isangel,VU,-19.55,169.2667,74.59,87,3,6.73,clear sky
139,Port Lincoln,AU,-34.7333,135.8667,52.39,58,88,14.85,overcast clouds
140,Gimli,CA,50.6336,-96.9907,66.22,77,98,13.8,overcast clouds
141,Bandarbeyla,SO,9.4942,50.8122,87.93,50,59,31.43,broken clouds
142,Wagar,SD,16.1525,36.2032,80.8,71,100,17.29,overcast clouds
143,Sur,OM,22.5667,59.5289,99.12,44,61,12.95,broken clouds
144,Omboue,GA,-1.5746,9.2618,76.95,70,2,5.37,clear sky
145,Aykhal,RU,66.0,111.5,68.56,53,100,2.91,overcast clouds
146,Pasni,PK,25.2631,63.471,85.1,83,53,18.03,broken clouds
147,Floro,NO,61.5996,5.0328,57.24,100,75,10.36,broken clouds
148,Inyonga,TZ,-6.7167,32.0667,75.69,32,3,8.99,clear sky
149,Zhuanghe,CN,39.7008,122.9911,80.26,81,43,8.61,scattered clouds
150,Kutum,SD,14.2,24.6667,80.96,46,75,14.63,broken clouds
151,Husavik,IS,66.0449,-17.3389,60.71,71,87,2.71,overcast clouds
152,Caravelas,BR,-17.7125,-39.2481,70.02,91,33,8.86,scattered clouds
153,Goleta,TN,36.8181,10.305,80.92,54,20,5.75,few clouds
154,Hofn,IS,64.2539,-15.2082,52.84,83,44,3.62,scattered clouds
155,Bethel,US,41.3712,-73.414,70.38,92,4,3.62,clear sky
156,Tshikapa,CD,-6.4167,20.8,84.31,21,31,7.31,scattered clouds
157,Nome,US,64.5011,-165.4064,58.15,94,90,0.0,mist
158,Tuktoyaktuk,CA,69.4541,-133.0374,57.74,70,12,4.54,few clouds
159,Lashio,MM,22.9333,97.75,82.74,75,20,1.9,few clouds
160,Letka,RU,59.6011,49.4232,74.17,61,100,3.65,light rain
161,Svetlaya,RU,46.5389,138.3297,72.03,81,78,6.02,broken clouds
162,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,23.02,broken clouds
163,Adrar,MR,20.5022,-10.0711,91.62,8,100,9.17,overcast clouds
164,Baoqing,CN,46.3317,132.2111,88.16,56,96,4.47,overcast clouds
165,Nishihara,JP,26.1842,127.7558,80.65,89,90,24.16,mist
166,Vaini,TO,-21.2,-175.2,71.76,94,20,2.3,few clouds
167,Mahebourg,MU,-20.4081,57.7,75.49,53,40,12.66,scattered clouds
168,Kachiry,KZ,53.0675,76.1036,68.58,65,100,7.83,overcast clouds
169,Mayumba,GA,-3.432,10.6554,74.59,78,12,7.29,few clouds
170,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,55,0,19.57,clear sky
171,Yinchuan,CN,38.4681,106.2731,93.79,25,0,13.73,clear sky
172,Inongo,CD,-1.95,18.2667,74.14,45,41,2.1,scattered clouds
173,Kavieng,PG,-2.5744,150.7967,82.74,75,69,3.94,broken clouds
174,College,US,64.8569,-147.8028,73.35,53,75,0.0,smoke
175,Tiksi,RU,71.6872,128.8694,44.38,89,100,18.75,light rain
176,San Jose,US,37.3394,-121.895,65.35,80,1,4.61,clear sky
177,Matay,EG,28.419,30.7792,100.62,14,0,9.53,clear sky
178,Sargatskoye,RU,55.6101,73.4972,78.98,38,28,7.0,scattered clouds
179,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,14.97,clear sky
180,West Odessa,US,31.8424,-102.4988,74.86,76,1,5.75,clear sky
181,Anekal,IN,12.7,77.7,81.91,57,97,22.5,overcast clouds
182,Santa Rosalia,MX,27.3167,-112.2833,86.14,43,100,5.28,overcast clouds
183,Constitucion,CL,-35.3333,-72.4167,52.75,76,63,5.84,broken clouds
184,Puerto Berrio,CO,6.4916,-74.4033,71.89,89,58,2.3,broken clouds
185,Nanakuli,US,21.3906,-158.1547,78.75,71,20,6.91,few clouds
186,Georgetown,MY,5.4112,100.3354,91.35,49,20,10.0,few clouds
187,Ambilobe,MG,-13.2,49.05,88.92,33,6,11.43,clear sky
188,Nizwa,OM,22.9333,57.5333,96.94,38,65,7.7,broken clouds
189,Luderitz,NA,-26.6481,15.1594,59.31,72,99,23.33,overcast clouds
190,Jinxi,CN,30.4323,116.2922,89.69,69,95,3.44,light rain
191,Aden,YE,12.7794,45.0367,86.92,67,100,26.73,overcast clouds
192,Zaozerne,UA,45.1582,33.2787,88.3,48,30,3.96,scattered clouds
193,Nouadhibou,MR,20.931,-17.0347,73.38,83,10,9.22,clear sky
194,Leningradskiy,RU,69.3833,178.4167,35.91,87,100,5.57,overcast clouds
195,Aklavik,CA,68.2191,-135.0107,70.63,60,7,10.09,clear sky
196,Katsuura,JP,35.1333,140.3,87.91,72,70,7.83,broken clouds
197,Arlit,NE,18.7369,7.3853,94.21,30,12,15.03,few clouds
198,Dawlatabad,AF,36.4141,64.9053,100.81,10,0,14.0,clear sky
199,Hotaka,JP,36.3396,137.8825,92.68,38,40,13.8,scattered clouds
200,Bambous Virieux,MU,-20.3428,57.7575,75.45,53,40,12.66,scattered clouds
201,Roma,US,43.2128,-75.4557,69.66,94,90,0.0,mist
202,Kalabo,ZM,-14.97,22.6814,68.61,32,10,8.86,clear sky
203,Mindelo,CV,16.8901,-24.9804,76.55,73,75,2.3,broken clouds
204,Acarau,BR,-2.8856,-40.12,76.8,89,100,9.91,overcast clouds
205,Ostrovnoy,RU,68.0531,39.5131,52.32,82,100,18.88,overcast clouds
206,Kruisfontein,ZA,-34.0033,24.7314,54.88,77,100,12.64,overcast clouds
207,Impfondo,CG,1.6381,18.0667,86.92,47,36,3.65,scattered clouds
208,Sitka,US,57.0531,-135.33,58.89,77,20,9.22,few clouds
209,Clyde River,CA,70.4692,-68.5914,37.63,81,90,10.36,light rain
210,Upernavik,GL,72.7868,-56.1549,38.68,97,100,21.47,light rain
211,Haines Junction,CA,60.7522,-137.5108,57.15,77,17,2.3,light rain
212,Alamosa,US,37.4695,-105.87,60.78,51,1,8.05,clear sky
213,Cherskiy,RU,68.75,161.3,61.48,43,100,7.2,overcast clouds
214,Makokou,GA,0.5738,12.8642,73.74,88,75,3.38,broken clouds
215,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,88,75,8.95,broken clouds
216,Bonavista,CA,48.6499,-53.1147,59.0,84,100,11.39,overcast clouds
217,Talnakh,RU,69.4865,88.3972,62.89,43,4,9.84,clear sky
218,Pauini,BR,-7.7136,-66.9764,64.38,74,8,3.18,clear sky
219,Sarakhs,IR,36.5449,61.1577,102.34,15,0,6.91,clear sky
220,Greytown,ZA,-29.0642,30.5928,57.79,18,0,4.83,clear sky
221,Kijang,KR,35.2442,129.2139,92.93,75,100,11.52,overcast clouds
222,Cabedelo,BR,-6.9811,-34.8339,74.07,73,91,12.33,overcast clouds
223,Kano,NG,12.0001,8.5167,78.69,83,0,13.8,clear sky
224,Chumikan,RU,54.7183,135.315,61.92,75,100,4.36,overcast clouds
225,Goiatuba,BR,-18.0125,-49.3547,47.3,22,2,4.38,clear sky
226,Carutapera,BR,-1.195,-46.02,75.13,93,3,5.82,clear sky
227,Guangyuan,CN,32.442,105.823,89.13,57,24,3.85,few clouds
228,Coria,ES,39.9879,-6.5377,72.7,57,4,3.91,clear sky
229,Saldanha,ZA,-33.0117,17.9442,50.05,74,85,19.95,light rain
230,Port Hawkesbury,CA,45.6169,-61.3485,71.55,97,90,1.01,moderate rain
231,Jiuquan,CN,39.7432,98.5174,93.06,20,95,13.71,overcast clouds
232,Mandurah,AU,-32.55,115.7,58.21,91,100,17.94,light rain
233,Bahar,IR,34.9072,48.4414,86.16,17,20,4.61,few clouds
234,San Juan,AR,-31.5375,-68.5364,47.14,34,0,4.25,clear sky
235,George,ZA,-33.963,22.4617,49.55,93,90,6.91,moderate rain
236,Jashpurnagar,IN,22.9,84.15,76.69,82,100,6.82,light rain
237,Kloulklubed,PW,7.0419,134.2556,84.7,74,100,5.23,overcast clouds
238,Thompson,CA,55.7435,-97.8558,44.76,87,20,0.0,few clouds
239,Abohar,IN,30.15,74.1833,88.72,67,100,6.69,overcast clouds
240,Parczew,PL,51.6402,22.9006,72.21,59,11,6.96,few clouds
241,Pevek,RU,69.7008,170.3133,38.37,81,2,7.36,clear sky
242,Johi,PK,26.6921,67.6133,113.45,14,4,5.26,clear sky
243,Ilulissat,GL,69.2167,-51.1,42.82,81,90,11.5,drizzle
244,Reconquista,AR,-29.15,-59.65,39.31,62,1,5.61,clear sky
245,Manta,EC,-0.95,-80.7333,73.18,88,90,6.91,overcast clouds
246,Fernandez,AR,-27.9204,-63.8935,47.08,31,3,8.03,clear sky
247,Qandala,SO,11.472,49.8728,94.35,43,38,7.23,scattered clouds
248,Batsfjord,NO,70.6345,29.7185,52.02,57,40,24.16,scattered clouds
249,Ust-Kut,RU,56.7938,105.7672,87.58,24,35,0.67,scattered clouds
250,Dillon,US,34.4166,-79.3712,74.25,96,100,4.03,overcast clouds
251,Faya,SA,18.3851,42.4509,68.11,54,100,8.1,overcast clouds
252,Payson,US,40.0444,-111.7321,74.95,75,20,8.05,few clouds
253,Semirom,IR,31.4167,51.5667,80.91,20,16,6.06,few clouds
254,Chuy,UY,-33.6971,-53.4616,39.13,92,5,7.05,clear sky
255,Vung Tau,VN,10.346,107.0843,85.78,70,82,5.95,broken clouds
256,Alofi,NU,-19.0595,-169.9187,71.49,94,3,3.44,clear sky
257,Tezu,IN,27.9167,96.1667,89.24,75,90,3.67,overcast clouds
258,Amesbury,US,42.8584,-70.9301,68.13,92,13,1.01,few clouds
259,Roebourne,AU,-20.7833,117.1333,80.26,37,36,10.27,scattered clouds
260,Artvin,TR,41.1667,41.8333,76.28,21,0,3.56,clear sky
261,Bowen,AU,-20.0167,148.2333,73.62,70,60,6.67,broken clouds
262,Ondjiva,AO,-17.0667,15.7333,65.35,24,0,6.73,clear sky
263,Hervey Bay,AU,-25.2986,152.8535,68.11,45,0,1.01,clear sky
264,Linhares,BR,-19.3911,-40.0722,68.54,55,100,11.14,overcast clouds
265,Batouri,CM,4.4333,14.3667,70.34,95,100,2.98,overcast clouds
266,Tual,ID,-5.6667,132.75,80.92,82,58,14.88,broken clouds
267,Ayagoz,KZ,47.9714,80.4392,93.79,13,6,13.53,clear sky
268,Marsabit,KE,2.3284,37.9899,71.24,48,15,16.93,few clouds
269,Sambava,MG,-14.2667,50.1667,76.01,72,68,15.64,light rain
270,Airai,TL,-8.9266,125.4092,70.02,56,72,3.8,broken clouds
271,Geraldton,AU,-28.7667,114.6,61.21,82,90,23.02,overcast clouds
272,Mecca,SA,21.4267,39.8261,98.11,25,38,6.82,scattered clouds
273,Ucluelet,CA,48.9329,-125.5528,59.09,90,76,3.69,broken clouds
274,Boffa,GN,10.1667,-14.0333,77.63,90,87,0.76,overcast clouds
275,Nago,JP,26.5881,127.9761,82.56,89,100,32.95,moderate rain
276,Gaurnadi,BD,22.9667,90.2333,89.33,70,100,7.38,overcast clouds
277,Pilar,BR,-9.5972,-35.9567,69.73,94,53,2.42,broken clouds
278,Koboko,UG,3.4136,30.9599,64.69,90,100,5.7,light rain
279,Kirkuk,IQ,35.4681,44.3922,112.78,10,0,3.22,clear sky
280,Cidreira,BR,-30.1811,-50.2056,45.91,87,1,10.33,clear sky
281,Meulaboh,ID,4.1363,96.1285,86.22,61,32,6.22,scattered clouds
282,Mount Gambier,AU,-37.8333,140.7667,44.51,87,75,24.16,broken clouds
